"selec","View","Channel","bottom.freq","top.freq","Peak Freq (Hz)","Delta Time (s)","Delta Freq (Hz)","start","end","Adulto","Polluelo","Clicks","Sobrelapamiento","Lejos","Agua/Viento","Otro animal","selec.file","sound.files"
69,"Spectrogram 1",1,0,1.513235,559.863,0.9167,1513.235,234.149453986,235.066180829,"y","n","n","n","n","n","n","1/ZOOM0004_TrLR-2.Table.1.selections.txt","ZOOM0004_TrLR-2.wav"
70,"Spectrogram 1",1,0,10.592647,1593.457,0.6232,10592.647,255.091043953,255.714237571,"y","n","n","n","n","n","n","1/ZOOM0004_TrLR-2.Table.1.selections.txt","ZOOM0004_TrLR-2.wav"
71,"Spectrogram 1",1,0,10.700735,1291.992,0.4922,10700.735,256.129699983,256.621932623,"y","n","n","n","n","n","n","1/ZOOM0004_TrLR-2.Table.1.selections.txt","ZOOM0004_TrLR-2.wav"
73,"Spectrogram 1",1,0,10.700735,818.262,0.3974,10700.735,256.842833303,257.240232132,"y","n","n","n","n","n","n","1/ZOOM0004_TrLR-2.Table.1.selections.txt","ZOOM0004_TrLR-2.wav"
74,"Spectrogram 1",1,0,10.700735,689.062,0.6051,10700.735,257.235716236,257.840846271,"y","n","n","n","n","n","n","1/ZOOM0004_TrLR-2.Table.1.selections.txt","ZOOM0004_TrLR-2.wav"
75,"Spectrogram 1",1,0,10.484559,1248.926,0.6413,10484.559,258.012450311,258.653707512,"y","n","n","n","n","n","n","1/ZOOM0004_TrLR-2.Table.1.selections.txt","ZOOM0004_TrLR-2.wav"
76,"Spectrogram 1",1,0,10.700735,732.129,0.8174,10700.735,258.933693051,259.751070187,"y","n","n","n","n","n","n","1/ZOOM0004_TrLR-2.Table.1.selections.txt","ZOOM0004_TrLR-2.wav"
77,"Spectrogram 1",1,0,10.592647,1248.926,0.0858,10592.647,260.008539615,260.094341635,"y","n","n","n","n","n","n","1/ZOOM0004_TrLR-2.Table.1.selections.txt","ZOOM0004_TrLR-2.wav"
78,"Spectrogram 1",1,0,10.268382,732.129,0.4019,10268.382,260.175627759,260.577542484,"y","n","n","n","n","n","n","1/ZOOM0004_TrLR-2.Table.1.selections.txt","ZOOM0004_TrLR-2.wav"
79,"Spectrogram 1",1,0,10.592647,559.863,0.42,10592.647,260.577542484,260.997520791,"y","n","n","n","n","n","n","1/ZOOM0004_TrLR-2.Table.1.selections.txt","ZOOM0004_TrLR-2.wav"
80,"Spectrogram 1",1,0,10.376471,1162.793,0.1806,10376.471,261.002036687,261.182672518,"y","n","n","n","n","n","n","1/ZOOM0004_TrLR-2.Table.1.selections.txt","ZOOM0004_TrLR-2.wav"
81,"Spectrogram 1",1,0,10.592647,947.461,0.1852,10592.647,261.182672518,261.367824246,"y","n","n","n","n","n","n","1/ZOOM0004_TrLR-2.Table.1.selections.txt","ZOOM0004_TrLR-2.wav"
83,"Spectrogram 1",1,0,1.405147,732.129,0.7361,1405.147,263.087984164,263.824075177,"y","n","n","n","n","n","n","1/ZOOM0004_TrLR-2.Table.1.selections.txt","ZOOM0004_TrLR-2.wav"
85,"Spectrogram 1",1,0,10.376471,1033.594,0.6548,10376.471,267.217415248,267.872220136,"y","n","n","n","n","n","n","1/ZOOM0004_TrLR-2.Table.1.selections.txt","ZOOM0004_TrLR-2.wav"
86,"Spectrogram 1",1,0,10.592647,1033.594,0.3974,10592.647,268.590247566,268.987646395,"y","n","n","n","n","n","n","1/ZOOM0004_TrLR-2.Table.1.selections.txt","ZOOM0004_TrLR-2.wav"
